Tiempo (s),Potencial (mV),EKG (mV)
0,0.553113553,0.025516125
0.005,0.021978022,0.085402984
0.01,-0.272283272,0.114079878
0.015,0.311355311,0.097388116
0.02,0.277167277,0.100160217
0.025,-0.239316239,0.111937029
0.03,0.115995116,0.093130693
0.035,0.571428571,0.092719427
0.04,-0.118437118,0.128017311
0.045,-0.081807082,0.133414251
0.05,0.759462759,0.133473825
0.055,0.349206349,0.191279953
0.06,0.008547009,0.25206207
0.065,0.810744811,0.289742363
0.07,0.582417582,0.356873143
0.075,-0.186813187,0.406555113
0.08,0.074481074,0.369036695
0.085,0.433455433,0.30073731
0.09,-0.203907204,0.24567412
0.095,-0.148962149,0.167570785
0.1,0.545787546,0.100265011
0.105,0.001221001,0.092202346
0.11,-0.263736264,0.084347375
0.115,0.263736264,0.052809516
0.12,0.199023199,0.048901947
0.125,-0.273504274,0.055868398
0.13,0.058608059,0.035635849
0.135,0.518925519,0.035838565
0.14,-0.157509158,0.072640526
0.145,-0.146520147,0.079983395
0.15,0.572649573,0.074468294
0.155,0.076923077,0.107638549
0.16,-0.203907204,0.128197796
0.165,0.389499389,0.117356799
0.17,0.344322344,0.132783762
0.175,-0.264957265,0.153382488
0.18,0.035409035,0.128281732
0.185,0.5995116,0.110965962
0.19,-0.111111111,0.133794443
0.195,-0.083028083,0.133907859
0.2,0.643467643,0.12615209
0.205,0.118437118,0.160061342
0.21,-0.156288156,0.180604557
0.215,0.476190476,0.170393041
0.22,0.304029304,0.184679355
0.225,-0.245421245,0.196323814
0.23,0.05982906,0.159965609
0.235,0.553113553,0.132280637
0.24,-0.134310134,0.141851756
0.245,-0.070818071,0.130240664
0.25,0.617826618,0.116268796
0.255,0.073260073,0.145058069
0.26,-0.172161172,0.159768414
0.265,0.538461538,0.149857132
0.27,0.484737485,0.181430035
0.275,-0.186813187,0.224424997
0.28,0.102564103,0.21401515
0.285,0.617826618,0.198750201
0.29,-0.09035409,0.212134074
0.295,-0.086691087,0.195737762
0.3,0.58974359,0.166594219
0.305,0.135531136,0.17818485
0.31,-0.167277167,0.182999039
0.315,0.549450549,0.16776426
0.32,0.462759463,0.193639957
0.325,-0.189255189,0.229946418
0.33,0.16971917,0.217087023
0.335,0.732600733,0.211428564
0.34,-0.05006105,0.24274377
0.345,-0.054945055,0.239994807
0.35,0.677655678,0.218239903
0.355,0.14041514,0.23373522
0.36,-0.186813187,0.233824154
0.365,0.405372405,0.19866308
0.37,0.289377289,0.186844276
0.375,-0.242979243,0.180744271
0.38,0.04029304,0.137182125
0.385,0.47985348,0.10508891
0.39,-0.185592186,0.107483411
0.395,-0.186813187,0.085222515
0.4,0.448107448,0.053422705
0.405,-0.030525031,0.059243032
0.41,-0.305250305,0.054947496
0.415,0.258852259,0.025065245
0.42,0.242979243,0.026753534
0.425,-0.286935287,0.04376972
0.43,-0.008547009,0.028402882
0.435,0.488400488,0.024109554
0.44,-0.15018315,0.055288255
0.445,-0.108669109,0.064081388
0.45,0.567765568,0.065818825
0.455,0.021978022,0.102912835
0.46,-0.239316239,0.119345636
0.465,0.36996337,0.101405756
0.47,0.343101343,0.11279253
0.475,-0.234432234,0.135487456
0.48,0.010989011,0.11635324
0.485,0.516483516,0.099497879
0.49,-0.114774115,0.115712977
0.495,-0.130647131,0.109545423
0.5,0.521367521,0.093000944
0.505,0.04029304,0.111638012
0.51,-0.192918193,0.11907324
0.515,0.468864469,0.106446749
0.52,0.389499389,0.132922336
0.525,-0.235653236,0.168110638
0.53,0.087912088,0.154677323
0.535,0.598290598,0.144368681
0.54,-0.111111111,0.16678905
0.545,-0.085470085,0.160444366
0.55,0.693528694,0.146699817
0.555,0.189255189,0.181645222
0.56,-0.155067155,0.207614882
0.565,0.496947497,0.199425195
0.57,0.443223443,0.217741369
0.575,-0.203907204,0.240982149
0.58,0.112332112,0.214760052
0.585,0.626373626,0.192087933
0.59,-0.10989011,0.2033962
0.595,-0.095238095,0.185788993
0.6,0.622710623,0.157716753
0.605,0.101343101,0.172542611
0.61,-0.213675214,0.176215164
0.615,0.36019536,0.147082033
0.62,0.382173382,0.146619413
0.625,-0.181929182,0.162821053
0.63,0.113553114,0.146827618
0.635,0.631257631,0.143073311
0.64,-0.047619048,0.17610974
0.645,-0.083028083,0.180757733
0.65,0.627594628,0.168783802
0.655,0.096459096,0.190273411
0.66,-0.217338217,0.193557174
0.665,0.422466422,0.163342166
0.67,0.402930403,0.165880958
0.675,-0.197802198,0.184059994
0.68,0.063492063,0.162303554
0.685,0.617826618,0.146888539
0.69,-0.092796093,0.167853377
0.695,-0.108669109,0.162117277
0.7,0.652014652,0.145152701
0.705,0.188034188,0.173843168
0.71,-0.202686203,0.193951739
0.715,0.332112332,0.173346744
0.72,0.37973138,0.170035059
0.725,-0.179487179,0.179106496
0.73,0.073260073,0.154855096
0.735,0.582417582,0.139700126
0.74,-0.098901099,0.159021331
0.745,-0.091575092,0.15269845
0.75,0.695970696,0.14050661
0.755,0.170940171,0.17645724
0.76,-0.211233211,0.199710408
0.765,0.371184371,0.179814641
0.77,0.382173382,0.178981552
0.775,-0.222222222,0.187677448
0.78,0.084249084,0.158336487
0.785,0.606837607,0.140204978
0.79,-0.107448107,0.160334859
0.795,-0.106227106,0.153829352
0.8,0.553113553,0.133002617
0.805,0.057387057,0.146996343
0.81,-0.22954823,0.146975192
0.815,0.374847375,0.118604674
0.82,0.418803419,0.12608137
0.825,-0.214896215,0.152512205
0.83,0.039072039,0.138664082
0.835,0.532356532,0.124516054
0.84,-0.115995116,0.140149813
0.845,-0.103785104,0.131045878
0.85,0.782661783,0.123565868
0.855,0.433455433,0.184505327
0.86,0.012210012,0.257090874
0.865,0.727716728,0.300042577
0.87,0.52991453,0.357951682
0.875,-0.246642247,0.39146492
0.88,0.036630037,0.339090832
0.885,0.496947497,0.265687781
0.89,-0.174603175,0.220045855
0.895,-0.202686203,0.154459436
0.9,0.421245421,0.086378756
0.905,0.039072039,0.068274418
0.91,-0.247863248,0.058375355
0.915,0.283272283,0.034736601
0.92,0.338217338,0.047004843
0.925,-0.22954823,0.078048381
0.93,0.046398046,0.075477976
0.935,0.584859585,0.080958084
0.94,-0.108669109,0.119802875
0.945,-0.147741148,0.126939187
0.95,0.494505495,0.111193375
0.955,0.043956044,0.123768255
0.96,-0.238095238,0.122998334
0.965,0.358974359,0.096543519
0.97,0.415140415,0.107005493
0.975,-0.213675214,0.137410657
0.98,0.045177045,0.128529112
0.985,0.603174603,0.122580448
0.99,-0.113553114,0.149532145
0.995,-0.118437118,0.147079565
1,0.57997558,0.129322648
1.005,0.130647131,0.150799939
1.01,-0.170940171,0.164459557
1.015,0.390720391,0.149110329
1.02,0.405372405,0.160910531
1.025,-0.223443223,0.18213956
1.03,0.064713065,0.160040764
1.035,0.609279609,0.143410419
1.04,-0.095238095,0.163574446
1.045,-0.123321123,0.156938556
1.05,0.577533578,0.135586619
1.055,0.11965812,0.153182403
1.06,-0.195360195,0.16224034
1.065,0.378510379,0.141714162
1.07,0.426129426,0.15103755
1.075,-0.15018315,0.177601752
1.08,0.201465201,0.172989629
1.085,0.752136752,0.185157147
1.09,-0.054945055,0.233128836
1.095,-0.130647131,0.237304293
1.1,0.551892552,0.206439844
1.105,0.115995116,0.203410234
1.11,-0.194139194,0.191591447
1.115,0.438339438,0.158085458
1.12,0.468864469,0.165552083
1.125,-0.186813187,0.193537882
1.13,0.147741148,0.182797705
1.135,0.748473748,0.18332595
1.14,-0.05982906,0.22286955
1.145,-0.128205128,0.224286145
1.15,0.564102564,0.195030326
1.155,0.129426129,0.196756017
1.16,-0.175824176,0.191151197
1.165,0.454212454,0.163824209
1.17,0.411477411,0.172932825
1.175,-0.26984127,0.191971506
1.18,-0.035409035,0.15836318
1.185,0.474969475,0.118807847
1.19,-0.189255189,0.110889
1.195,-0.221001221,0.080787024
1.2,0.417582418,0.041217877
1.205,0.020757021,0.0434415
1.21,-0.282051282,0.044686379
1.215,0.233211233,0.022745718
1.22,0.31990232,0.031020875
1.225,-0.240537241,0.058543881
1.23,-0.001221001,0.053785605
1.235,0.437118437,0.050476509
1.24,-0.164835165,0.072204419
1.245,-0.194139194,0.065567575
1.25,0.433455433,0.044684447
1.255,0.043956044,0.059232314
1.26,-0.251526252,0.067905424
1.265,0.306471306,0.052599694
1.27,0.434676435,0.072091269
1.275,-0.183150183,0.114168504
1.28,0.092796093,0.12123057
1.285,0.63980464,0.131961437
1.29,-0.076923077,0.172651466
1.295,-0.103785104,0.178434774
1.3,0.62026862,0.163842926
1.305,0.151404151,0.18585797
1.31,-0.206349206,0.195453327
1.315,0.344322344,0.167936219
1.32,0.390720391,0.163687963
1.325,-0.217338217,0.173301013
1.33,0.070818071,0.147289271
1.335,0.645909646,0.133622202
1.34,-0.103785104,0.160316762
1.345,-0.142857143,0.1574938
1.35,0.562881563,0.135041973
1.355,0.123321123,0.150113221
1.36,-0.211233211,0.157425696
1.365,0.352869353,0.134451123
1.37,0.442002442,0.141544856
1.375,-0.174603175,0.167919242
1.38,0.129426129,0.16015633
1.385,0.702075702,0.163059814
1.39,-0.043956044,0.203117734
1.395,-0.091575092,0.209445912
1.4,0.605616606,0.191371083
1.405,0.120879121,0.204396708
1.41,-0.231990232,0.201474917
1.415,0.358974359,0.163592591
1.42,0.437118437,0.157357518
1.425,-0.211233211,0.172399977
1.43,0.034188034,0.150238635
1.435,0.615384615,0.133414844
1.44,-0.095238095,0.154483282
1.445,-0.147741148,0.149124855
1.45,0.550671551,0.126350757
1.455,0.211233211,0.14557097
1.46,-0.135531136,0.166802214
1.465,0.472527473,0.165502974
1.47,0.426129426,0.191327101
1.475,-0.231990232,0.21913532
1.48,0.029304029,0.191981024
1.485,0.623931624,0.163985145
1.49,-0.083028083,0.175044501
1.495,-0.126984127,0.163447768
1.5,0.565323565,0.138116939
1.505,0.124542125,0.15221873
1.51,-0.216117216,0.158665889
1.515,0.366300366,0.135262203
1.52,0.471306471,0.144360959
1.525,-0.180708181,0.17424345
1.53,0.076923077,0.165405396
1.535,0.643467643,0.158982065
1.54,-0.079365079,0.185742466
1.545,-0.124542125,0.181245481
1.55,0.575091575,0.156967137
1.555,0.175824176,0.171487798
1.56,-0.218559219,0.179654724
1.565,0.323565324,0.15339281
1.57,0.503052503,0.155149223
1.575,-0.137973138,0.182358935
1.58,0.092796093,0.176848489
1.585,0.609279609,0.171808945
1.59,-0.103785104,0.193334401
1.595,-0.148962149,0.179905112
1.6,0.533577534,0.14618635
1.605,0.092796093,0.149266436
1.61,-0.255189255,0.144641796
1.615,0.291819292,0.109875315
1.62,0.442002442,0.108044078
1.625,-0.207570208,0.131873681
1.63,0.026862027,0.121737477
1.635,0.57020757,0.113495993
1.64,-0.105006105,0.13750411
1.645,-0.164835165,0.132950664
1.65,0.593406593,0.113500717
1.655,0.305250305,0.144218459
1.66,-0.037851038,0.186505863
1.665,0.725274725,0.216935623
1.67,0.738705739,0.291118977
1.675,-0.128205128,0.369583437
1.68,0.026862027,0.363463372
1.685,0.488400488,0.312479416
1.69,-0.163614164,0.268496895
1.695,-0.194139194,0.195799942
1.7,0.485958486,0.120874617
1.705,0.087912088,0.101656603
1.71,-0.266178266,0.091696483
1.715,0.296703297,0.063061913
1.72,0.427350427,0.07215252
1.725,-0.223443223,0.106117798
1.73,-0.028083028,0.101043964
1.735,0.553113553,0.092520475
1.74,-0.089133089,0.116880833
1.745,-0.196581197,0.115517601
1.75,0.473748474,0.093136718
1.755,0.056166056,0.102175405
1.76,-0.261294261,0.102749578
1.765,0.301587302,0.076467728
1.77,0.431013431,0.085086598
1.775,-0.196581197,0.118235645
1.78,0.052503053,0.116889256
1.785,0.622710623,0.119160076
1.79,-0.061050061,0.155347855
1.795,-0.130647131,0.161546618
1.8,0.544566545,0.145037011
1.805,0.166056166,0.162031264
1.81,-0.207570208,0.171357258
1.815,0.293040293,0.14635159
1.82,0.367521368,0.141463436
1.825,-0.216117216,0.150412975
1.83,0.024420024,0.125200391
1.835,0.595848596,0.109468427
1.84,-0.073260073,0.134253411
1.845,-0.142857143,0.135807636
1.85,0.587301587,0.122044965
1.855,0.158730159,0.147674511
1.86,-0.22954823,0.164178293
1.865,0.308913309,0.142393982
1.87,0.483516484,0.145622096
1.875,-0.161172161,0.171765022
1.88,0.084249084,0.164248837
1.885,0.691086691,0.162462942
1.89,-0.030525031,0.197846321
1.895,-0.114774115,0.202510258
1.9,0.619047619,0.183995521
1.905,0.26007326,0.204756043
1.91,-0.188034188,0.221061983
1.915,0.327228327,0.198034062
1.92,0.423687424,0.19122835
1.925,-0.192918193,0.197881281
1.93,0.078144078,0.169989857
1.935,0.713064713,0.15610991
1.94,-0.023199023,0.188801692
1.945,-0.111111111,0.19566964
1.95,0.605616606,0.179557469
1.955,0.191697192,0.19809402
1.96,-0.199023199,0.207100346
1.965,0.378510379,0.181256224
1.97,0.416361416,0.180047999
1.975,-0.223443223,0.191798557
1.98,0.007326007,0.16111536
1.985,0.583638584,0.133587205
1.99,-0.115995116,0.144233546
1.995,-0.179487179,0.130796638
2,0.477411477,0.100165317
2.005,0.067155067,0.105482854
2.01,-0.273504274,0.104236202
2.015,0.180708181,0.070588556
2.02,0.261294261,0.057124241
2.025,-0.3003663,0.058549255
2.03,-0.070818071,0.029520296
2.035,0.490842491,0.012049281
2.04,-0.123321123,0.037564308
2.045,-0.185592186,0.045884969
2.05,0.476190476,0.040665242
2.055,0.108669109,0.070980722
2.06,-0.225885226,0.094365608
2.065,0.321123321,0.087439673
2.07,0.411477411,0.106088111
2.075,-0.206349206,0.138942624
2.08,-0.010989011,0.128898912
2.085,0.583638584,0.116565087
2.09,-0.065934066,0.139289731
2.095,-0.15018315,0.138676009
2.1,0.517704518,0.119769223
2.105,0.155067155,0.136360546
2.11,-0.221001221,0.147352643
2.115,0.401709402,0.130862856
2.12,0.523809524,0.14963747
2.125,-0.19047619,0.189331993
2.13,0.025641026,0.181690465
2.135,0.655677656,0.168231749
2.14,-0.046398046,0.190106878
2.145,-0.11965812,0.186232139
2.15,0.63003663,0.165845808
2.155,0.216117216,0.187795779
2.16,-0.216117216,0.202972215
2.165,0.311355311,0.17737578
2.17,0.462759463,0.172161297
2.175,-0.183150183,0.186438497
2.18,-0.008547009,0.163112766
2.185,0.595848596,0.139792086
2.19,-0.036630037,0.155418288
2.195,-0.102564103,0.153801026
2.2,0.654456654,0.143663684
2.205,0.241758242,0.178971963
2.21,-0.203907204,0.206401955
2.215,0.312576313,0.188564822
2.22,0.462759463,0.1857777
2.225,-0.173382173,0.199243052
2.23,0.052503053,0.176872836
2.235,0.67032967,0.161002244
2.24,-0.043956044,0.185728919
2.245,-0.141636142,0.183951803
2.25,0.566544567,0.160173772
2.255,0.192918193,0.173560204
2.26,-0.21978022,0.181913427
2.265,0.305250305,0.155157363
2.27,0.500610501,0.154486348
2.275,-0.194139194,0.176963285
2.28,0.006105006,0.160826895
2.285,0.619047619,0.143378944
2.29,-0.04029304,0.163878921
2.295,-0.129426129,0.162590481
2.3,0.527472527,0.142487589
2.305,0.167277167,0.156720557
2.31,-0.188034188,0.165893795
2.315,0.385836386,0.1479608
2.32,0.46031746,0.159997913
2.325,-0.192918193,0.187764157
2.33,0.030525031,0.17161646
2.335,0.603174603,0.153749136
2.34,-0.051282051,0.171284373
2.345,-0.145299145,0.164692942
2.35,0.531135531,0.139791551
2.355,0.153846154,0.151148164
2.36,-0.236874237,0.156611741
2.365,0.262515263,0.127752299
2.37,0.495726496,0.126147023
2.375,-0.148962149,0.153055894
2.38,0.061050061,0.14998835
2.385,0.656898657,0.149867488
2.39,-0.078144078,0.181972677
2.395,-0.163614164,0.17972974
2.4,0.527472527,0.151094308
2.405,0.192918193,0.159148405
2.41,-0.225885226,0.165454391
2.415,0.318681319,0.140784938
2.42,0.548229548,0.146946559
2.425,-0.164835165,0.180540115
2.43,0.002442002,0.173942459
2.435,0.571428571,0.157582729
2.44,-0.074481074,0.16985728
2.445,-0.172161172,0.156097796
2.45,0.505494505,0.12452564
2.455,0.146520147,0.131475576
2.46,-0.202686203,0.138120389
2.465,0.389499389,0.121928406
2.47,0.488400488,0.140583015
2.475,-0.227106227,0.176369268
2.48,-0.024420024,0.161875072
2.485,0.594627595,0.139577637
2.49,-0.053724054,0.154113172
2.495,-0.16971917,0.147468869
2.5,0.507936508,0.122283838
2.505,0.251526252,0.137970797
2.51,-0.10989011,0.161795786
2.515,0.658119658,0.175482229
2.52,0.78021978,0.241476151
2.525,-0.103785104,0.326932191
2.53,0.001221001,0.335106316
2.535,0.549450549,0.297962222
2.54,-0.064713065,0.272477449
2.545,-0.146520147,0.222281468
2.55,0.46031746,0.161308959
2.555,0.096459096,0.141717182
2.56,-0.282051282,0.123054435
2.565,0.203907204,0.079002346
2.57,0.412698413,0.067599109
2.575,-0.231990232,0.086298505
2.58,-0.047619048,0.075008188
2.585,0.51037851,0.064063469
2.59,-0.105006105,0.086907757
2.595,-0.196581197,0.086893805
2.6,0.523809524,0.072035539
2.605,0.158730159,0.098017963
2.61,-0.239316239,0.12047866
2.615,0.236874237,0.10546328
2.62,0.424908425,0.109034261
2.625,-0.218559219,0.130719212
2.63,-0.010989011,0.116192673
2.635,0.550671551,0.101914688
2.64,-0.046398046,0.124246141
2.645,-0.136752137,0.127116227
2.65,0.565323565,0.116393092
2.655,0.262515263,0.1476021
2.66,-0.207570208,0.17643888
2.665,0.308913309,0.165273242
2.67,0.550671551,0.173613773
2.675,-0.170940171,0.202851175
2.68,-0.030525031,0.188022666
2.685,0.57020757,0.161637101
2.69,-0.045177045,0.167951047
2.695,-0.146520147,0.155442052
2.7,0.550671551,0.130407583
2.705,0.21001221,0.147767523
2.71,-0.201465201,0.164524227
2.715,0.289377289,0.146856015
2.72,0.499389499,0.151510418
2.725,-0.15018315,0.178338467
2.73,0.04029304,0.16966462
2.735,0.704517705,0.16338101
2.74,-0.017094017,0.196213968
2.745,-0.124542125,0.201332965
2.75,0.568986569,0.180668234
2.755,0.225885226,0.194338752
2.76,-0.178266178,0.204066914
2.765,0.389499389,0.183136766
2.77,0.58974359,0.193968159
2.775,-0.137973138,0.229517996
2.78,0.018315018,0.219970466
2.785,0.681318681,0.201439657
2.79,0.00976801,0.219311318
2.795,-0.144078144,0.213317021
2.8,0.57020757,0.184468307
2.805,0.256410256,0.194032224
2.81,-0.192918193,0.203994023
2.815,0.288156288,0.178573419
2.82,0.496947497,0.173731358
2.825,-0.177045177,0.190267733
2.83,-0.034188034,0.168304053
2.835,0.522588523,0.139231595
2.84,-0.094017094,0.141542954
2.845,-0.208791209,0.122362862
2.85,0.437118437,0.086914635
2.855,0.083028083,0.087971091
2.86,-0.282051282,0.087071606
2.865,0.205128205,0.057832249
2.87,0.347985348,0.054747877
2.875,-0.27960928,0.071798908
2.88,-0.10989011,0.052121965
2.885,0.43956044,0.03006666
2.89,-0.108669109,0.044144374
2.895,-0.241758242,0.042020896
2.9,0.388278388,0.023815939
2.905,0.091575092,0.039363573
2.91,-0.251526252,0.05450411
2.915,0.244200244,0.044176123
2.92,0.450549451,0.06265709
2.925,-0.186813187,0.104401002
2.93,-0.018315018,0.108370039
2.935,0.581196581,0.106828646
2.94,-0.029304029,0.137784317
2.945,-0.129426129,0.145721029
2.95,0.528693529,0.133831323
2.955,0.155067155,0.153250337
2.96,-0.231990232,0.162516501
2.965,0.267399267,0.13516988
2.97,0.518925519,0.134686019
2.975,-0.180708181,0.161471969
2.98,-0.025641026,0.150932971
2.985,0.612942613,0.135472542
2.99,-0.004884005,0.158014664
2.995,-0.139194139,0.161347406
3,0.543345543,0.145211151
